"","Kingdom","Phylum","Class","Order","Family","Genus","Species","OTU"
"forward_CO1_1789","","","","","","","","forward_CO1_1789"
"forward_CO1_1790","","","","","","","","forward_CO1_1790"
"forward_CO1_1791","Eukaryota_2759","Annelida_6340","Polychaeta_6341","order_Orbiniidae_46603","Orbiniidae_46603","Naineris_273008","Naineris dendritica CMC01_868108","forward_CO1_1791"
"forward_CO1_1794","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_1794"
"forward_CO1_1795","","","","","","","","forward_CO1_1795"
"forward_CO1_1797","","","","","","","","forward_CO1_1797"
"forward_CO1_1798","","","","","","","","forward_CO1_1798"
"forward_CO1_1799","","","","","","","","forward_CO1_1799"
"forward_CO1_1800","","","","","","","","forward_CO1_1800"
"forward_CO1_1801","","","","","","","","forward_CO1_1801"
"forward_CO1_1802","","","","","","","","forward_CO1_1802"
"forward_CO1_1803","","","","","","","","forward_CO1_1803"
"forward_CO1_1804","","","","","","","","forward_CO1_1804"
"forward_CO1_1805","","","","","","","","forward_CO1_1805"
"forward_CO1_1806","","","","","","","","forward_CO1_1806"
"forward_CO1_1807","Eukaryota_2759","Arthropoda_6656","Malacostraca_6681","Amphipoda_6821","Hyalidae_199478","Protohyale_1305614","Protohyale frequens_1305615","forward_CO1_1807"
"forward_CO1_1808","","","","","","","","forward_CO1_1808"
"forward_CO1_1809","","","","","","","","forward_CO1_1809"
"forward_CO1_1810","","","","","","","","forward_CO1_1810"
"forward_CO1_1811","","","","","","","","forward_CO1_1811"
"forward_CO1_1812","","","","","","","","forward_CO1_1812"
"forward_CO1_1813","","","","","","","","forward_CO1_1813"
"forward_CO1_1814","","","","","","","","forward_CO1_1814"
"forward_CO1_1815","","","","","","","","forward_CO1_1815"
"forward_CO1_1816","","","","","","","","forward_CO1_1816"
"forward_CO1_1817","","","","","","","","forward_CO1_1817"
"forward_CO1_1818","","","","","","","","forward_CO1_1818"
"forward_CO1_1819","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Corallina_35169","Corallina confusa_2725795","forward_CO1_1819"
"forward_CO1_1820","","","","","","","","forward_CO1_1820"
"forward_CO1_1821","","","","","","","","forward_CO1_1821"
"forward_CO1_1822","","","","","","","","forward_CO1_1822"
"forward_CO1_1823","","","","","","","","forward_CO1_1823"
"forward_CO1_1825","","","","","","","","forward_CO1_1825"
"forward_CO1_1826","","","","","","","","forward_CO1_1826"
"forward_CO1_1828","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_1828"
"forward_CO1_1829","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_1829"
"forward_CO1_1830","Eukaryota_2759","Arthropoda_6656","Thecostraca_116172","Balanomorpha_2899670","Balanidae_37806","Balanus_6677","","forward_CO1_1830"
"forward_CO1_1831","","","","","","","","forward_CO1_1831"
"forward_CO1_1834","","","","","","","","forward_CO1_1834"
"forward_CO1_1835","Eukaryota_2759","Chlorophyta_3041","Chloropicophyceae_2302911","Chloropicales_2302912","Chloropicaceae_2302913","Chloroparvula_2302916","Chloroparvula pacifica_1883388","forward_CO1_1835"
"forward_CO1_1836","","","","","","","","forward_CO1_1836"
"forward_CO1_1837","","","","","","","","forward_CO1_1837"
"forward_CO1_1839","","","","","","","","forward_CO1_1839"
"forward_CO1_1841","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_1841"
"forward_CO1_1842","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_1842"
"forward_CO1_1843","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Corallina_35169","Corallina confusa_2725795","forward_CO1_1843"
"forward_CO1_1844","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Bossiella_48614","Bossiella frondescens_1141738","forward_CO1_1844"
"forward_CO1_1845","","","","","","","","forward_CO1_1845"
"forward_CO1_1847","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_1847"
"forward_CO1_1850","","","","","","","","forward_CO1_1850"
"forward_CO1_1851","","","","","","","","forward_CO1_1851"
"forward_CO1_1852","","","","","","","","forward_CO1_1852"
"forward_CO1_1854","","","","","","","","forward_CO1_1854"
"forward_CO1_1856","","","","","","","","forward_CO1_1856"
"forward_CO1_1857","","","","","","","","forward_CO1_1857"
"forward_CO1_1858","Eukaryota_2759","Arthropoda_6656","Malacostraca_6681","Amphipoda_6821","Hyalidae_199478","Protohyale_1305614","Protohyale frequens_1305615","forward_CO1_1858"
"forward_CO1_1859","","","","","","","","forward_CO1_1859"
"forward_CO1_1860","","","","","","","","forward_CO1_1860"
"forward_CO1_1861","","","","","","","","forward_CO1_1861"
"forward_CO1_1862","","","","","","","","forward_CO1_1862"
"forward_CO1_1863","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_1863"
"forward_CO1_1864","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_1864"
"forward_CO1_1865","","","","","","","","forward_CO1_1865"
"forward_CO1_1866","","","","","","","","forward_CO1_1866"
"forward_CO1_1867","","","","","","","","forward_CO1_1867"
"forward_CO1_1868","Eukaryota_2759","Cnidaria_6073","Hydrozoa_6074","Leptothecata_500008","Aglaopheniidae_308582","Aglaophenia_308583","Aglaophenia struthionides_1769401","forward_CO1_1868"
"forward_CO1_1870","","","","","","","","forward_CO1_1870"
"forward_CO1_1871","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_1871"
"forward_CO1_1872","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_1872"
"forward_CO1_1874","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Gigartinaceae_29217","Mazzaella_29228","Mazzaella splendens_29236","forward_CO1_1874"
"forward_CO1_1875","","","","","","","","forward_CO1_1875"
"forward_CO1_1876","","","","","","","","forward_CO1_1876"
"forward_CO1_1877","Eukaryota_2759","phylum_Phaeophyceae_2870","Phaeophyceae_2870","Ectocarpales_2877","Chordariaceae_66220","Hecatonema_86887","Hecatonema maculans_1535340","forward_CO1_1877"
"forward_CO1_1878","","","","","","","","forward_CO1_1878"
"forward_CO1_1879","","","","","","","","forward_CO1_1879"
"forward_CO1_1880","","","","","","","","forward_CO1_1880"
"forward_CO1_1882","","","","","","","","forward_CO1_1882"
"forward_CO1_1883","","","","","","","","forward_CO1_1883"
"forward_CO1_1884","","","","","","","","forward_CO1_1884"
"forward_CO1_1885","","","","","","","","forward_CO1_1885"
"forward_CO1_1886","Eukaryota_2759","Chordata_7711","Actinopteri_186623","Perciformes_8111","Cottidae_8092","Scorpaenichthys_52272","Scorpaenichthys marmoratus_52273","forward_CO1_1886"
"forward_CO1_1887","","","","","","","","forward_CO1_1887"
"forward_CO1_1889","","","","","","","","forward_CO1_1889"
"forward_CO1_1890","","","","","","","","forward_CO1_1890"
"forward_CO1_1891","","","","","","","","forward_CO1_1891"
"forward_CO1_1892","","","","","","","","forward_CO1_1892"
"forward_CO1_1893","Eukaryota_2759","phylum_Phaeophyceae_2870","Phaeophyceae_2870","Ectocarpales_2877","Chordariaceae_66220","Leathesia_27962","Leathesia difformis_27963","forward_CO1_1893"
"forward_CO1_1895","","","","","","","","forward_CO1_1895"
"forward_CO1_1897","","","","","","","","forward_CO1_1897"
"forward_CO1_1898","","","","","","","","forward_CO1_1898"
"forward_CO1_1899","","","","","","","","forward_CO1_1899"
"forward_CO1_1900","","","","","","","","forward_CO1_1900"
"forward_CO1_1901","","","","","","","","forward_CO1_1901"
"forward_CO1_1902","Eukaryota_2759","Porifera_6040","Demospongiae_6042","Suberitida_1779162","Halichondriidae_6060","Halichondria_6061","Halichondria panicea_6063","forward_CO1_1902"
"forward_CO1_1904","Eukaryota_2759","Arthropoda_6656","Malacostraca_6681","Amphipoda_6821","Ischyroceridae_371444","Jassa_371448","Jassa staudei_496418","forward_CO1_1904"
"forward_CO1_1905","","","","","","","","forward_CO1_1905"
"forward_CO1_1906","","","","","","","","forward_CO1_1906"
"forward_CO1_1907","","","","","","","","forward_CO1_1907"
"forward_CO1_1908","","","","","","","","forward_CO1_1908"
"forward_CO1_1909","","","","","","","","forward_CO1_1909"
"forward_CO1_1910","","","","","","","","forward_CO1_1910"
"forward_CO1_1911","","","","","","","","forward_CO1_1911"
"forward_CO1_1912","","","","","","","","forward_CO1_1912"
"forward_CO1_1913","","","","","","","","forward_CO1_1913"
"forward_CO1_1914","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_1914"
"forward_CO1_1915","","","","","","","","forward_CO1_1915"
"forward_CO1_1916","","","","","","","","forward_CO1_1916"
"forward_CO1_1918","","","","","","","","forward_CO1_1918"
"forward_CO1_1919","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_1919"
"forward_CO1_1922","Eukaryota_2759","phylum_Dinophyceae_2864","Dinophyceae_2864","Gymnodiniales_2953","Gymnodiniaceae_66801","Nusuttodinium_1610577","Nusuttodinium poecilochroum_891395","forward_CO1_1922"
"forward_CO1_1924","","","","","","","","forward_CO1_1924"
"forward_CO1_1925","","","","","","","","forward_CO1_1925"
"forward_CO1_1926","","","","","","","","forward_CO1_1926"
"forward_CO1_1927","","","","","","","","forward_CO1_1927"
"forward_CO1_1928","Eukaryota_2759","Mollusca_6447","Gastropoda_6448","Littorinimorpha_216294","Calyptraeidae_52627","Crepidula_52628","Crepidula perforans_219078","forward_CO1_1928"
"forward_CO1_1929","Eukaryota_2759","phylum_Dinophyceae_2864","Dinophyceae_2864","Gymnodiniales_2953","Gymnodiniaceae_66801","Nusuttodinium_1610577","Nusuttodinium poecilochroum_891395","forward_CO1_1929"
"forward_CO1_1930","","","","","","","","forward_CO1_1930"
"forward_CO1_1931","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_1931"
"forward_CO1_1932","","","","","","","","forward_CO1_1932"
"forward_CO1_1933","","","","","","","","forward_CO1_1933"
"forward_CO1_1935","","","","","","","","forward_CO1_1935"
"forward_CO1_1937","","","","","","","","forward_CO1_1937"
"forward_CO1_1939","","","","","","","","forward_CO1_1939"
"forward_CO1_1940","","","","","","","","forward_CO1_1940"
"forward_CO1_1942","","","","","","","","forward_CO1_1942"
"forward_CO1_1943","","","","","","","","forward_CO1_1943"
"forward_CO1_1945","","","","","","","","forward_CO1_1945"
"forward_CO1_1946","","","","","","","","forward_CO1_1946"
"forward_CO1_1947","","","","","","","","forward_CO1_1947"
"forward_CO1_1948","","","","","","","","forward_CO1_1948"
"forward_CO1_1949","","","","","","","","forward_CO1_1949"
"forward_CO1_1950","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_1950"
"forward_CO1_1951","","","","","","","","forward_CO1_1951"
"forward_CO1_1952","Eukaryota_2759","phylum_Dinophyceae_2864","Dinophyceae_2864","Gymnodiniales_2953","Gymnodiniaceae_66801","Margalefidinium_2315349","Margalefidinium polykrikoides_77300","forward_CO1_1952"
"forward_CO1_1953","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_1953"
"forward_CO1_1954","","","","","","","","forward_CO1_1954"
"forward_CO1_1955","","","","","","","","forward_CO1_1955"
"forward_CO1_1956","","","","","","","","forward_CO1_1956"
"forward_CO1_1957","","","","","","","","forward_CO1_1957"
"forward_CO1_1958","","","","","","","","forward_CO1_1958"
"forward_CO1_1959","","","","","","","","forward_CO1_1959"
"forward_CO1_1960","","","","","","","","forward_CO1_1960"
"forward_CO1_1961","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_1961"
"forward_CO1_1962","","","","","","","","forward_CO1_1962"
"forward_CO1_1963","","","","","","","","forward_CO1_1963"
"forward_CO1_1964","","","","","","","","forward_CO1_1964"
"forward_CO1_1966","","","","","","","","forward_CO1_1966"
"forward_CO1_1967","","","","","","","","forward_CO1_1967"
"forward_CO1_1968","","","","","","","","forward_CO1_1968"
"forward_CO1_1969","","","","","","","","forward_CO1_1969"
"forward_CO1_1970","","","","","","","","forward_CO1_1970"
"forward_CO1_1971","","","","","","","","forward_CO1_1971"
"forward_CO1_1972","Eukaryota_2759","phylum_Dinophyceae_2864","Dinophyceae_2864","Gymnodiniales_2953","Gymnodiniaceae_66801","Nusuttodinium_1610577","Nusuttodinium poecilochroum_891395","forward_CO1_1972"
"forward_CO1_1973","","","","","","","","forward_CO1_1973"
"forward_CO1_1974","","","","","","","","forward_CO1_1974"
"forward_CO1_1975","","","","","","","","forward_CO1_1975"
"forward_CO1_1976","","","","","","","","forward_CO1_1976"
"forward_CO1_1977","Eukaryota_2759","Arthropoda_6656","Thecostraca_116172","Balanomorpha_2899670","Chthamalidae_37897","Chthamalus_37898","Chthamalus dalli_116181","forward_CO1_1977"
"forward_CO1_1978","","","","","","","","forward_CO1_1978"
"forward_CO1_1979","","","","","","","","forward_CO1_1979"
"forward_CO1_1980","","","","","","","","forward_CO1_1980"
"forward_CO1_1981","","","","","","","","forward_CO1_1981"
"forward_CO1_1982","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Corallina_35169","Corallina confusa_2725795","forward_CO1_1982"
"forward_CO1_1983","","","","","","","","forward_CO1_1983"
"forward_CO1_1984","","","","","","","","forward_CO1_1984"
"forward_CO1_1985","","","","","","","","forward_CO1_1985"
"forward_CO1_1986","","","","","","","","forward_CO1_1986"
"forward_CO1_1987","","","","","","","","forward_CO1_1987"
"forward_CO1_1988","","","","","","","","forward_CO1_1988"
"forward_CO1_1989","","","","","","","","forward_CO1_1989"
"forward_CO1_1991","","","","","","","","forward_CO1_1991"
"forward_CO1_1993","","","","","","","","forward_CO1_1993"
"forward_CO1_1994","","","","","","","","forward_CO1_1994"
"forward_CO1_1995","","","","","","","","forward_CO1_1995"
"forward_CO1_1996","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_1996"
"forward_CO1_1998","","","","","","","","forward_CO1_1998"
"forward_CO1_1999","Eukaryota_2759","phylum_Dinophyceae_2864","Dinophyceae_2864","Gymnodiniales_2953","Gymnodiniaceae_66801","Nusuttodinium_1610577","Nusuttodinium poecilochroum_891395","forward_CO1_1999"
"forward_CO1_2000","","","","","","","","forward_CO1_2000"
"forward_CO1_2001","","","","","","","","forward_CO1_2001"
"forward_CO1_2002","","","","","","","","forward_CO1_2002"
"forward_CO1_2003","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Gigartinales_28017","Peyssonneliaceae_173455","Peyssonnelia_173456","Peyssonnelia rosenvingei_339593","forward_CO1_2003"
"forward_CO1_2004","","","","","","","","forward_CO1_2004"
"forward_CO1_2006","Eukaryota_2759","Arthropoda_6656","Malacostraca_6681","Decapoda_6683","Paguridae_6745","Pagurus_6746","Pagurus hirsutiusculus_174398","forward_CO1_2006"
"forward_CO1_2007","","","","","","","","forward_CO1_2007"
"forward_CO1_2008","","","","","","","","forward_CO1_2008"
"forward_CO1_2009","","","","","","","","forward_CO1_2009"
"forward_CO1_2010","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Bossiella_48614","Bossiella dichotoma_1503778","forward_CO1_2010"
"forward_CO1_2011","","","","","","","","forward_CO1_2011"
"forward_CO1_2012","","","","","","","","forward_CO1_2012"
"forward_CO1_2014","","","","","","","","forward_CO1_2014"
"forward_CO1_2015","Eukaryota_2759","Chordata_7711","Actinopteri_186623","Perciformes_8111","Cottidae_8092","Scorpaenichthys_52272","Scorpaenichthys marmoratus_52273","forward_CO1_2015"
"forward_CO1_2016","Eukaryota_2759","Chordata_7711","Actinopteri_186623","Perciformes_8111","Cottidae_8092","Scorpaenichthys_52272","Scorpaenichthys marmoratus_52273","forward_CO1_2016"
"forward_CO1_2017","","","","","","","","forward_CO1_2017"
"forward_CO1_2019","","","","","","","","forward_CO1_2019"
"forward_CO1_2020","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_2020"
"forward_CO1_2021","","","","","","","","forward_CO1_2021"
"forward_CO1_2022","","","","","","","","forward_CO1_2022"
"forward_CO1_2023","","","","","","","","forward_CO1_2023"
"forward_CO1_2024","","","","","","","","forward_CO1_2024"
"forward_CO1_2025","","","","","","","","forward_CO1_2025"
"forward_CO1_2026","","","","","","","","forward_CO1_2026"
"forward_CO1_2028","","","","","","","","forward_CO1_2028"
"forward_CO1_2029","","","","","","","","forward_CO1_2029"
"forward_CO1_2030","","","","","","","","forward_CO1_2030"
"forward_CO1_2031","","","","","","","","forward_CO1_2031"
"forward_CO1_2032","","","","","","","","forward_CO1_2032"
"forward_CO1_2033","","","","","","","","forward_CO1_2033"
"forward_CO1_2034","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_2034"
"forward_CO1_2035","","","","","","","","forward_CO1_2035"
"forward_CO1_2036","","","","","","","","forward_CO1_2036"
"forward_CO1_2037","","","","","","","","forward_CO1_2037"
"forward_CO1_2038","","","","","","","","forward_CO1_2038"
"forward_CO1_2039","","","","","","","","forward_CO1_2039"
"forward_CO1_2041","","","","","","","","forward_CO1_2041"
"forward_CO1_2042","","","","","","","","forward_CO1_2042"
"forward_CO1_2043","","","","","","","","forward_CO1_2043"
"forward_CO1_2045","","","","","","","","forward_CO1_2045"
"forward_CO1_2046","","","","","","","","forward_CO1_2046"
"forward_CO1_2047","","","","","","","","forward_CO1_2047"
"forward_CO1_2048","","","","","","","","forward_CO1_2048"
"forward_CO1_2049","","","","","","","","forward_CO1_2049"
"forward_CO1_2050","","","","","","","","forward_CO1_2050"
"forward_CO1_2051","","","","","","","","forward_CO1_2051"
"forward_CO1_2052","","","","","","","","forward_CO1_2052"
"forward_CO1_2053","","","","","","","","forward_CO1_2053"
"forward_CO1_2054","","","","","","","","forward_CO1_2054"
"forward_CO1_2055","","","","","","","","forward_CO1_2055"
"forward_CO1_2056","","","","","","","","forward_CO1_2056"
"forward_CO1_2057","","","","","","","","forward_CO1_2057"
"forward_CO1_2059","","","","","","","","forward_CO1_2059"
"forward_CO1_2060","","","","","","","","forward_CO1_2060"
"forward_CO1_2061","","","","","","","","forward_CO1_2061"
"forward_CO1_2062","","","","","","","","forward_CO1_2062"
"forward_CO1_2063","","","","","","","","forward_CO1_2063"
"forward_CO1_2064","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Corallina_35169","Corallina confusa_2725795","forward_CO1_2064"
"forward_CO1_2065","","","","","","","","forward_CO1_2065"
"forward_CO1_2066","","","","","","","","forward_CO1_2066"
"forward_CO1_2067","","","","","","","","forward_CO1_2067"
"forward_CO1_2068","","","","","","","","forward_CO1_2068"
"forward_CO1_2069","","","","","","","","forward_CO1_2069"
"forward_CO1_2070","","","","","","","","forward_CO1_2070"
"forward_CO1_2071","","","","","","","","forward_CO1_2071"
"forward_CO1_2073","Eukaryota_2759","Bacillariophyta_2836","Bacillariophyceae_33849","Bacillariales_33851","Bacillariaceae_33852","Cylindrotheca_2852","Cylindrotheca closterium_2856","forward_CO1_2073"
"forward_CO1_2074","","","","","","","","forward_CO1_2074"
"forward_CO1_2075","","","","","","","","forward_CO1_2075"
"forward_CO1_2076","","","","","","","","forward_CO1_2076"
"forward_CO1_2078","","","","","","","","forward_CO1_2078"
"forward_CO1_2079","","","","","","","","forward_CO1_2079"
"forward_CO1_2080","","","","","","","","forward_CO1_2080"
"forward_CO1_2081","","","","","","","","forward_CO1_2081"
"forward_CO1_2084","","","","","","","","forward_CO1_2084"
"forward_CO1_2085","","","","","","","","forward_CO1_2085"
"forward_CO1_2086","","","","","","","","forward_CO1_2086"
"forward_CO1_2089","","","","","","","","forward_CO1_2089"
"forward_CO1_2090","","","","","","","","forward_CO1_2090"
"forward_CO1_2091","","","","","","","","forward_CO1_2091"
"forward_CO1_2094","","","","","","","","forward_CO1_2094"
"forward_CO1_2095","","","","","","","","forward_CO1_2095"
"forward_CO1_2096","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_2096"
"forward_CO1_2097","","","","","","","","forward_CO1_2097"
"forward_CO1_2098","Eukaryota_2759","Arthropoda_6656","Hexanauplia_72037","Calanoida_6833","Acartiidae_121147","Acartia_121148","Acartia tonsa_136180","forward_CO1_2098"
"forward_CO1_2099","","","","","","","","forward_CO1_2099"
"forward_CO1_2100","","","","","","","","forward_CO1_2100"
"forward_CO1_2102","Eukaryota_2759","Cnidaria_6073","Hydrozoa_6074","Leptothecata_500008","Aglaopheniidae_308582","Aglaophenia_308583","Aglaophenia struthionides_1769401","forward_CO1_2102"
"forward_CO1_2103","","","","","","","","forward_CO1_2103"
"forward_CO1_2104","","","","","","","","forward_CO1_2104"
"forward_CO1_2105","Eukaryota_2759","Haptophyta_2830","class_Phaeocystales_418919","Phaeocystales_418919","Phaeocystaceae_418920","Phaeocystis_33656","Phaeocystis globosa_33658","forward_CO1_2105"
"forward_CO1_2106","","","","","","","","forward_CO1_2106"
"forward_CO1_2107","","","","","","","","forward_CO1_2107"
"forward_CO1_2108","","","","","","","","forward_CO1_2108"
"forward_CO1_2109","","","","","","","","forward_CO1_2109"
"forward_CO1_2110","","","","","","","","forward_CO1_2110"
"forward_CO1_2111","","","","","","","","forward_CO1_2111"
"forward_CO1_2112","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Bossiella_48614","Bossiella frondescens_1141738","forward_CO1_2112"
"forward_CO1_2113","","","","","","","","forward_CO1_2113"
"forward_CO1_2114","","","","","","","","forward_CO1_2114"
"forward_CO1_2115","","","","","","","","forward_CO1_2115"
"forward_CO1_2116","","","","","","","","forward_CO1_2116"
"forward_CO1_2117","","","","","","","","forward_CO1_2117"
"forward_CO1_2118","Eukaryota_2759","Arthropoda_6656","Hexanauplia_72037","Calanoida_6833","Acartiidae_121147","Acartia_121148","Acartia tonsa_136180","forward_CO1_2118"
"forward_CO1_2119","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_2119"
"forward_CO1_2121","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_2121"
"forward_CO1_2122","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_2122"
"forward_CO1_2123","","","","","","","","forward_CO1_2123"
"forward_CO1_2124","","","","","","","","forward_CO1_2124"
"forward_CO1_2126","","","","","","","","forward_CO1_2126"
"forward_CO1_2127","Eukaryota_2759","Arthropoda_6656","Hexanauplia_72037","Calanoida_6833","Acartiidae_121147","Acartia_121148","Acartia tonsa_136180","forward_CO1_2127"
"forward_CO1_2128","Eukaryota_2759","Chlorophyta_3041","Mamiellophyceae_1035538","Mamiellales_13792","Mamiellaceae_41873","Micromonas_38832","Micromonas pusilla_38833","forward_CO1_2128"
"forward_CO1_2129","","","","","","","","forward_CO1_2129"
"forward_CO1_2130","","","","","","","","forward_CO1_2130"
"forward_CO1_2131","","","","","","","","forward_CO1_2131"
"forward_CO1_2132","Eukaryota_2759","Rhodophyta_2763","Florideophyceae_2806","Corallinales_31395","Corallinaceae_31396","Bossiella_48614","Bossiella frondescens_1141738","forward_CO1_2132"
"forward_CO1_2133","","","","","","","","forward_CO1_2133"
"forward_CO1_2134","","","","","","","","forward_CO1_2134"
"forward_CO1_2135","","","","","","","","forward_CO1_2135"
"forward_CO1_2136","","","","","","","","forward_CO1_2136"
"forward_CO1_2137","Eukaryota_2759","Annelida_6340","Polychaeta_6341","Phyllodocida_6348","Nereididae_39820","Platynereis_6358","Platynereis bicanaliculata_868042","forward_CO1_2137"
"forward_CO1_2138","","","","","","","","forward_CO1_2138"
"forward_CO1_2139","","","","","","","","forward_CO1_2139"
"forward_CO1_2140","","","","","","","","forward_CO1_2140"
"forward_CO1_2141","","","","","","","","forward_CO1_2141"
"forward_CO1_2142","","","","","","","","forward_CO1_2142"
"forward_CO1_2144","","","","","","","","forward_CO1_2144"
"forward_CO1_2146","Eukaryota_2759","phylum_Phaeophyceae_2870","Phaeophyceae_2870","Ectocarpales_2877","Chordariaceae_66220","Myriotrichia_64912","Myriotrichia claviformis_64930","forward_CO1_2146"
"forward_CO1_2148","","","","","","","","forward_CO1_2148"
"forward_CO1_2150","","","","","","","","forward_CO1_2150"
"forward_CO1_2152","Eukaryota_2759","Porifera_6040","Demospongiae_6042","Poecilosclerida_27925","Hymedesmiidae_252956","Hemimycale_942686","Hemimycale columella_942687","forward_CO1_2152"
"forward_CO1_2153","","","","","","","","forward_CO1_2153"
"forward_CO1_2154","Eukaryota_2759","phylum_Dinophyceae_2864","Dinophyceae_2864","Gymnodiniales_2953","Gymnodiniaceae_66801","Nusuttodinium_1610577","Nusuttodinium poecilochroum_891395","forward_CO1_2154"
"forward_CO1_2155","Eukaryota_2759","phylum_Phaeophyceae_2870","Phaeophyceae_2870","Ectocarpales_2877","Chordariaceae_66220","Hecatonema_86887","Hecatonema maculans_1535340","forward_CO1_2155"
"forward_CO1_2156","","","","","","","","forward_CO1_2156"
"forward_CO1_2157","","","","","","","","forward_CO1_2157"
"forward_CO1_2158","","","","","","","","forward_CO1_2158"
"forward_CO1_2159","Eukaryota_2759","Cnidaria_6073","Hydrozoa_6074","Leptothecata_500008","Aglaopheniidae_308582","Aglaophenia_308583","Aglaophenia struthionides_1769401","forward_CO1_2159"
"forward_CO1_2161","","","","","","","","forward_CO1_2161"
"forward_CO1_2162","","","","","","","","forward_CO1_2162"
