	Sample_Name	Dereplicated_Sample_Name	Type	PCR
CO1_2.D3.1039.c.FB.S112.L001	1039.c	1039	control	2
CO1_2.D4.1047.a.S120.L001	1047.a	1047	sample	2
CO1_2.D5.1047.b.S128.L001	1047.b	1047	sample	2
CO1_2.D6.1047.c.S136.L001	1047.c	1047	sample	2
CO1_2.D7.1055.a.S144.L001	1055.a	1055	sample	2
CO1_2.D8.1055.b.S152.L001	1055.b	1055	sample	2
CO1_2.D9.1055.c.S160.L001	1055.c	1055	sample	2
CO1_2.E1.1040.a.S97.L001	1040.a	1040	sample	2
CO1_2.E10.1064.a.EB.S169.L001	1064.a	1064	control	2
CO1_2.E11.1064.b.EB.S174.L001	1064.b	1064	control	2
CO1_2.E12.1064.c.EB.S180.L001	1064.c	1064	control	2
CO1_2.E2.1040.b.S105.L001	1040.b	1040	sample	2
CO1_2.E3.1040.c.S113.L001	1040.c	1040	sample	2
CO1_2.E4.1048.a.EB.S121.L001	1048.a	1048	control	2
CO1_2.E5.1048.b.EB.S129.L001	1048.b	1048	control	2
CO1_2.E6.1048.c.EB.S137.L001	1048.c	1048	control	2
CO1_2.E7.1056.a.S145.L001	1056.a	1056	sample	2
CO1_2.E8.1056.b.S153.L001	1056.b	1056	sample	2
CO1_2.E9.1056.c.S161.L001	1056.c	1056	sample	2
CO1_2.F1.1041.a.S98.L001	1041.a	1041	sample	2
CO1_2.F2.1041.b.S106.L001	1041.b	1041	sample	2
CO1_2.F3.1041.c.S114.L001	1041.c	1041	sample	2
CO1_2.F4.1049.a.S122.L001	1049.a	1049	sample	2
CO1_2.F5.1049.b.S130.L001	1049.b	1049	sample	2
CO1_2.F6.1049.c.S138.L001	1049.c	1049	sample	2
CO1_2.F7.1057.a.S146.L001	1057.a	1057	sample	2
CO1_2.F8.1057.b.S154.L001	1057.b	1057	sample	2
CO1_2.F9.1057.c.S162.L001	1057.c	1057	sample	2
CO1_2.G1.1042.a.S99.L001	1042.a	1042	sample	2
CO1_2.G2.1042.b.S107.L001	1042.b	1042	sample	2
CO1_2.G3.1042.c.S115.L001	1042.c	1042	sample	2
CO1_2.G4.1050.a.S123.L001	1050.a	1050	sample	2
CO1_2.G5.1050.b.S131.L001	1050.b	1050	sample	2
CO1_2.G6.1050.c.S139.L001	1050.c	1050	sample	2
CO1_2.G7.1058.a.S147.L001	1058.a	1058	sample	2
CO1_2.G8.1058.b.S155.L001	1058.b	1058	sample	2
CO1_2.G9.1058.c.S163.L001	1058.c	1058	sample	2
CO1_2.H1.1043.a.S100.L001	1043.a	1043	sample	2
CO1_2.H11.1071.2.S175.L001	1071.2	1071	control	2
CO1_2.H12.NTC.2.S181.L001	NTC.2	NTC	control	2
CO1_2.H2.1043.b.S108.L001	1043.b	1043	sample	2
CO1_2.H3.1043.c.S116.L001	1043.c	1043	sample	2
CO1_2.H4.1051.a.S124.L001	1051.a	1051	sample	2
CO1_2.H5.1051.b.S132.L001	1051.b	1051	sample	2
CO1_2.H6.1051.c.S140.L001	1051.c	1051	sample	2
CO1_2.H7.1059.a.S148.L001	1059.a	1059	sample	2
CO1_2.H8.1059.b.S156.L001	1059.b	1059	sample	2
CO1_2.H9.1059.c.S164.L001	1059.c	1059	sample	2
CO1_A1.1006.a.S1.L001	1006.a	1006	sample	1
CO1_A10.1030.a.S73.L001	1030.a	1030	sample	1
CO1_A11.1030.b.S79.L001	1030.b	1030	sample	1
CO1_A12.1030.c.S86.L001	1030.c	1030	sample	1
CO1_A2.1006.b.S9.L001	1006.b	1006	sample	1
CO1_A3.1006.c.S17.L001	1006.c	1006	sample	1
CO1_A4.1014.a.FB.S25.L001	1014.a	1014	control	1
CO1_A5.1014.b.FB.S33.L001	1014.b	1014	control	1
CO1_A6.1014.c.FB.S41.L001	1014.c	1014	control	1
CO1_A7.1022.a.S49.L001	1022.a	1022	sample	1
CO1_A8.1022.b.S57.L001	1022.b	1022	sample	1
