"Sequencing_Sample_Name","Sample_Name","Location","Latitude","Longitude","CRS","Date","Time","TimeZone","T","S"
"CO1_2.A10.1060.a.S165.L001","1060.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:30","UTC−08:00",15,33.1
"CO1_E4.1018.a.S29.L001","1018.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.9,33.1
"CO1_E5.1018.b.S37.L001","1018.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.9,33.1
"CO1_E6.1018.c.S45.L001","1018.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.9,33.1
"CO1_2.C11.1062.b.S172.L001","1062.b","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","11:30","UTC−08:00",12.8,33.2
"CO1_2.C12.1062.c.S178.L001","1062.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","11:30","UTC−08:00",12.8,33.2
"CO1_2.C10.1062.a.S167.L001","1062.a","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","11:30","UTC−08:00",12.8,33.2
"CO1_2.F6.1049.c.S138.L001","1049.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.9,33.1
"CO1_E12.1034.c.S90.L001","1034.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","12:30","UTC−08:00",13.7,33.2
"CO1_F12.1035.c.S91.L001","1035.c","N",37.495288,-122.499198,"EPSG:4326","28 January 2022","13:30","UTC−08:00",14.6,33.1
"CO1_A1.1006.a.S1.L001","1006.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","15:00","UTC−08:00",16.2,33.2
"CO1_A3.1006.c.S17.L001","1006.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","15:00","UTC−08:00",16.2,33.2
"CO1_A2.1006.b.S9.L001","1006.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","15:00","UTC−08:00",16.2,33.2
"CO1_2.A2.1036.b.S101.L001","1036.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:00","UTC−08:00",16,32.8
"CO1_2.B1.1037.a.S94.L001","1037.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","13:00","UTC−08:00",15.6,32.7
"CO1_B8.1023.b.S58.L001","1023.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","11:30","UTC−08:00",14.3,33.2
"CO1_B9.1023.c.S66.L001","1023.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","11:30","UTC−08:00",14.3,33.2
"CO1_B7.1023.a.S50.L001","1023.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","11:30","UTC−08:00",14.3,33.2
"CO1_C7.1024.a.S51.L001","1024.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","12:00","UTC−08:00",14.7,33
"CO1_D1.1009.a.S4.L001","1009.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.2,33.5
"CO1_D3.1009.c.S20.L001","1009.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.2,33.5
"CO1_D2.1009.b.S12.L001","1009.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.2,33.5
"CO1_2.H9.1059.c.S164.L001","1059.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","12:30","UTC−08:00",14.9,32.7
"CO1_A10.1030.a.S73.L001","1030.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","11:30","UTC−08:00",14.3,33.2
"CO1_E8.1026.b.S61.L001","1026.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","16:30","UTC−08:00",15.8,33.1
"CO1_E9.1026.c.S69.L001","1026.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","16:30","UTC−08:00",15.8,33.1
"CO1_E7.1026.a.S53.L001","1026.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","16:30","UTC−08:00",15.8,33.1
"CO1_2.G2.1042.b.S107.L001","1042.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","15:30","UTC−08:00",16.4,32.9
"CO1_2.G3.1042.c.S115.L001","1042.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","15:30","UTC−08:00",16.4,32.9
"CO1_2.D5.1047.b.S128.L001","1047.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.2,33.5
"CO1_2.D6.1047.c.S136.L001","1047.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.2,33.5
"CO1_2.B8.1053.b.S150.L001","1053.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.2,33.5
"CO1_2.A4.1044.a.S117.L001","1044.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","11:30","UTC−08:00",14.3,33.2
"CO1_2.A5.1044.b.S125.L001","1044.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","11:30","UTC−08:00",14.3,33.2
"CO1_2.A6.1044.c.S133.L001","1044.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","11:30","UTC−08:00",14.3,33.2
"CO1_2.C9.1054.c.S159.L001","1054.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","13:30","UTC−08:00",15.9,32.9
"CO1_B12.1031.c.S87.L001","1031.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:00","UTC−08:00",16,32.8
"CO1_A12.1030.c.S86.L001","1030.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","11:30","UTC−08:00",14.3,33.2
"CO1_A11.1030.b.S79.L001","1030.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","11:30","UTC−08:00",14.3,33.2
"CO1_B11.1031.b.S80.L001","1031.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:00","UTC−08:00",16,32.8
"CO1_2.B7.1053.a.S142.L001","1053.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.2,33.5
"CO1_B10.1031.a.S74.L001","1031.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:00","UTC−08:00",16,32.8
"CO1_2.B3.1037.c.S110.L001","1037.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","13:00","UTC−08:00",15.6,32.7
"CO1_2.B2.1037.b.S102.L001","1037.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","13:00","UTC−08:00",15.6,32.7
"CO1_2.H7.1059.a.S148.L001","1059.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","12:30","UTC−08:00",14.9,32.7
"CO1_2.B9.1053.c.S158.L001","1053.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.2,33.5
"CO1_C9.1024.c.S67.L001","1024.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","12:00","UTC−08:00",14.7,33
