"","Sample","Dereplicated_Sample_Name","X","Sample_Name","Type","PCR","Time","Location","Extraction","T","S","SiteByTime","chart_num"
"43","CO1_A7.1022.a.S49.L001","1022","CO1_A7.1022.a.S49.L001","1022.a","sample","1","13:30","S2","3",15.1,32.6,"S2 13:30","1"
"44","CO1_A8.1022.b.S57.L001","1022","CO1_A8.1022.b.S57.L001","1022.b","sample","1","13:30","S2","3",15.1,32.6,"S2 13:30","1"
"45","CO1_A9.1022.c.S65.L001","1022","CO1_A9.1022.c.S65.L001","1022.c","sample","1","13:30","S2","3",15.1,32.6,"S2 13:30","1"
"46","CO1_B8.1023.b.S58.L001","1023","CO1_B8.1023.b.S58.L001","1023.b","sample","1","11:30","S1","3",14.3,33.2,"S1 11:30","1"
"47","CO1_B9.1023.c.S66.L001","1023","CO1_B9.1023.c.S66.L001","1023.c","sample","1","11:30","S1","3",14.3,33.2,"S1 11:30","1"
"48","CO1_B7.1023.a.S50.L001","1023","CO1_B7.1023.a.S50.L001","1023.a","sample","1","11:30","S1","3",14.3,33.2,"S1 11:30","1"
"49","CO1_C7.1024.a.S51.L001","1024","CO1_C7.1024.a.S51.L001","1024.a","sample","1","12:00","S1","3",14.7,33,"S1 12:00","1"
"50","CO1_C9.1024.c.S67.L001","1024","CO1_C9.1024.c.S67.L001","1024.c","sample","1","12:00","S1","3",14.7,33,"S1 12:00","1"
"51","CO1_C8.1024.b.S59.L001","1024","CO1_C8.1024.b.S59.L001","1024.b","sample","1","12:00","S1","3",14.7,33,"S1 12:00","1"
"52","CO1_D7.1025.a.S52.L001","1025","CO1_D7.1025.a.S52.L001","1025.a","sample","1","17:00","N","3",12.9,33.2,"N 17:00","2"
"53","CO1_D8.1025.b.S60.L001","1025","CO1_D8.1025.b.S60.L001","1025.b","sample","1","17:00","N","3",12.9,33.2,"N 17:00","2"
"54","CO1_D9.1025.c.S68.L001","1025","CO1_D9.1025.c.S68.L001","1025.c","sample","1","17:00","N","3",12.9,33.2,"N 17:00","2"
"55","CO1_E8.1026.b.S61.L001","1026","CO1_E8.1026.b.S61.L001","1026.b","sample","1","16:30","S1","3",15.8,33.1,"S1 16:30","1"
"56","CO1_E9.1026.c.S69.L001","1026","CO1_E9.1026.c.S69.L001","1026.c","sample","1","16:30","S1","3",15.8,33.1,"S1 16:30","1"
"57","CO1_E7.1026.a.S53.L001","1026","CO1_E7.1026.a.S53.L001","1026.a","sample","1","16:30","S1","3",15.8,33.1,"S1 16:30","1"
"58","CO1_F9.1027.c.S70.L001","1027","CO1_F9.1027.c.S70.L001","1027.c","sample","1","12:00","S2","3",13.5,33,"S2 12:00","1"
"59","CO1_F8.1027.b.S62.L001","1027","CO1_F8.1027.b.S62.L001","1027.b","sample","1","12:00","S2","3",13.5,33,"S2 12:00","1"
"60","CO1_F7.1027.a.S54.L001","1027","CO1_F7.1027.a.S54.L001","1027.a","sample","1","12:00","S2","3",13.5,33,"S2 12:00","1"
"61","CO1_G8.1028.b.S63.L001","1028","CO1_G8.1028.b.S63.L001","1028.b","sample","1","12:00","N","3",13.2,33,"N 12:00","1"
"62","CO1_G9.1028.c.S71.L001","1028","CO1_G9.1028.c.S71.L001","1028.c","sample","1","12:00","N","3",13.2,33,"N 12:00","1"
"63","CO1_G7.1028.a.S55.L001","1028","CO1_G7.1028.a.S55.L001","1028.a","sample","1","12:00","N","3",13.2,33,"N 12:00","1"
"64","CO1_H7.1029.a.S56.L001","1029","CO1_H7.1029.a.S56.L001","1029.a","sample","1","11:30","N","3",12.8,33.2,"N 11:30","2"
"65","CO1_H8.1029.b.S64.L001","1029","CO1_H8.1029.b.S64.L001","1029.b","sample","1","11:30","N","3",12.8,33.2,"N 11:30","2"
